"filename", "language", "Kotlin", "log", "comment", "blank", "total"
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\components\LogoutModal.kt", "Kotlin", 32, 0, 0, 4, 36
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\components\NavigationBar.kt", "Kotlin", 109, 0, 0, 7, 116
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\viewmodel\LanguageViewModel.kt", "Kotlin", 17, 0, 0, 5, 22
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\LoginScreen.kt", "Kotlin", 32, 0, 0, 5, 37
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\RegisterScreen.kt", "Kotlin", 51, 0, 0, 8, 59
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\CodeConfirmation.kt", "Kotlin", 91, 0, 0, 13, 104
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\LoginForm.kt", "Kotlin", 108, 0, 0, 15, 123
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\RegisterForm.kt", "Kotlin", 140, 0, 0, 17, 157
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\RegisterSuccess.kt", "Kotlin", 43, 0, 0, 4, 47
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\AuthStateViewModel.kt", "Kotlin", 39, 0, 6, 6, 51
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\ConfirmationCodeViewModel.kt", "Kotlin", 45, 0, 0, 7, 52
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\LoginViewModel.kt", "Kotlin", 35, 0, 0, 6, 41
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\RegisterViewModel.kt", "Kotlin", 46, 0, 0, 9, 55
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\HeroScreen.kt", "Kotlin", 69, 0, 0, 9, 78
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\SplashScreen.kt", "Kotlin", 157, 0, 0, 10, 167
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\SupportScreen.kt", "Kotlin", 55, 0, 0, 10, 65
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\components\ContactForm.kt", "Kotlin", 86, 0, 1, 8, 95
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\dashboard\DashboardScreen.kt", "Kotlin", 22, 0, 0, 4, 26
